"Date","Symbol","Security Name","Client Name","Buy / Sell","Quantity Traded ","Trade Price / Wght. Avg. Price","Remarks"
"05-Jan-2017","TRIDENT","Trident Limited","LTS INVESTMENT FUND LTD","BUY","9,00,000","59.85","-"
"05-Jan-2017","TRIDENT","Trident Limited","SATYAM HOME FURNISHINGS PRIVATE LIMITED","SELL","9,00,000","59.85","-"
"16-Jan-2017","ESL","Electrosteel Steels Ltd","JINDAL DRILLING &amp; INDUSTRIES LIMITED","BUY","91,64,842","4.10","-"
"16-Jan-2017","ESL","Electrosteel Steels Ltd","SUDHA APPARELS LIMITED","SELL","91,64,842","4.10","-"
"17-Jan-2017","JINDRILL","Jindal Drilling And Indus","STABLE TRADING CO.LTD.","BUY","9,24,000","167.00","-"
"17-Jan-2017","JINDRILL","Jindal Drilling And Indus","SUDHA APPARELS LIMITED","SELL","9,24,000","167.00","-"
"18-Jan-2017","SFCL","Star Ferro &amp; Cement Ltd.","SHEETIJ AGARWAL","BUY","5,50,000","97.00","-"
"18-Jan-2017","SFCL","Star Ferro &amp; Cement Ltd.","SUBHAM CAPITAL PVT. LTD.","SELL","5,50,000","97.00","-"
"24-Jan-2017","JINDRILL","Jindal Drilling And Indus","ODD &amp; EVEN TRADES &amp; FINANCE PVT. LTD","SELL","4,25,000","173.00","-"
"24-Jan-2017","JINDRILL","Jindal Drilling And Indus","STABLE TRADING CO.LTD.","BUY","4,25,000","173.00","-"
"25-Jan-2017","HINDMOTORS","Hindustan Motors Limited","JAIPUR FINANCE &amp; DAIRY PRODUCTS PVT LTD","BUY","7,00,000","9.10","-"
"25-Jan-2017","HINDMOTORS","Hindustan Motors Limited","LIMITED INDIA SILICA MAGNESITE WORKS","SELL","7,00,000","9.10","-"
"25-Jan-2017","SFCL","Star Ferro &amp; Cement Ltd.","SHEETIJ AGARWAL","BUY","7,00,000","95.50","-"
"25-Jan-2017","SFCL","Star Ferro &amp; Cement Ltd.","SUBHAM CAPITAL PVT. LTD.","SELL","7,00,000","95.50","-"
"07-Feb-2017","ITC","ITC Ltd.","ADMINISTRATOR OF THE SPECIFIED UNDERTAKING OF THE UNIT TRUS","SELL","808,40,763","275.85","-"
"07-Feb-2017","ITC","ITC Ltd.","ADMINISTRATOR OF THE SPECIFIED UNDERTAKING OF THE UTI-1964","SELL","808,40,763","275.85","-"
"07-Feb-2017","ITC","ITC Ltd.","LIC A/C LIC ALLOCATION CONTRA FUND","BUY","808,40,763","275.85","-"
"07-Feb-2017","ITC","ITC Ltd.","LIFE INSURANCE CORPORATION (SCHEME 5)","BUY","808,40,763","275.85","-"
"07-Feb-2017","ITC","ITC Ltd.","LIFE INSURANCE CORPORATION OF INDIA LTD","BUY","808,40,763","275.85","-"
"07-Feb-2017","ITC","ITC Ltd.","UTI ADMNSTR OF THE SPECIFIED UNDERTAKING OF UTI-UNIT SCHM 64","SELL","808,40,763","275.85","-"
"16-Feb-2017","FINCABLES","Finolex Cables Ltd","ARMOR CAPITAL","SELL","9,35,000","437.00","-"
